,1_PINT-invitro.counts,10_PINT-Conv.counts,11_PINT-Conv.counts,12_PINT-Conv.counts,2_PINT-invitro.counts,3_PINT-invitro.counts,4_PINT-invitro.counts,5_PINT-eSPF.counts,6_PINT-eSPF.counts,7_PINT-eSPF.counts,8_PINT-eSPF.counts,9_PINT-Conv.counts
PINT_02791,3684,590,2876,2351,5017,24854,13160,14977,8123,644,624,4602
PINT_02792,7854,988,4299,3088,9259,43174,22580,19845,10765,887,715,6827
PINT_02793,309,454,2899,2360,379,1703,923,5185,5856,463,703,1537
PINT_00866,1456,748,8474,7413,1772,9351,4860,25553,22419,1887,1844,28213
PINT_00867,3762,1824,16715,13744,4051,21346,11617,37274,31840,2700,2513,48378
PINT_01043,1312,78,1213,357,1041,4368,2138,2035,1042,82,70,359
PINT_01044,1062,85,630,277,760,3006,1720,1896,1638,121,162,241
PINT_01251,259,493,2069,1023,489,2296,1179,3600,5902,441,872,700
PINT_01252,0,0,0,0,2,0,0,1,0,0,0,0
PINT_01253,552,278,2049,584,551,2177,1209,2009,1260,104,119,1365
PINT_01254,0,0,0,0,0,0,0,0,1,0,0,0
PINT_01255,345,21,158,84,130,565,303,4815,1635,122,146,218
PINT_01256,119,7,35,35,44,168,104,1191,458,42,49,57
PINT_01257,174,9,34,25,48,223,118,1326,481,34,50,40
PINT_01258,151,3,20,10,37,172,98,707,245,19,31,38
PINT_01259,121,7,21,8,28,109,55,367,176,9,13,32
PINT_01260,252,10,38,24,69,274,152,449,222,14,17,46
PINT_01261,438,107,496,360,479,1985,1049,1227,1290,90,118,467
PINT_01265,19,4,9,18,19,48,25,107,65,7,3,26
PINT_01266,10,0,5,8,6,26,8,39,33,3,4,7
PINT_01267,3,1,3,5,1,8,4,11,11,3,0,3
PINT_01268,152,229,755,425,196,1023,529,1603,2051,172,226,428
PINT_01269,38,104,304,146,50,232,120,576,696,59,77,182
PINT_01270,56,123,391,248,65,335,189,732,969,67,92,231
PINT_01426,4603,1747,11713,7973,5514,26166,14484,33646,20488,1665,1785,12831
PINT_01427,7803,2732,18259,11319,8158,38909,22073,44566,24162,1968,2111,19908
PINT_01428,0,0,0,0,0,1,0,0,0,0,0,0
PINT_01429,298,205,1330,808,434,1944,1006,2473,2139,154,159,1116
PINT_01461,7797,3201,1261,5415,9681,45376,22702,462,893,57,55,1114
PINT_01462,3401,1869,900,3694,4529,23073,11887,116,326,24,21,797
PINT_01463,8121,10637,4145,18087,10360,50132,24739,422,960,76,67,2583
PINT_01464,257,42,173,146,315,1656,821,258,367,30,18,116
PINT_01465,381,50,402,196,606,2938,1595,383,479,43,40,235
PINT_01466,2,0,0,0,1,2,2,0,9,1,0,0
PINT_01467,114,174,1249,380,175,875,530,1397,1649,98,162,570
PINT_01468,466,497,2728,883,599,2959,1673,3397,4336,349,434,1179
PINT_01542,1573,1958,13947,16978,1791,9035,4979,45328,23663,2033,2834,15620
PINT_01543,637,790,6928,8804,755,4378,2419,29206,16334,1381,1972,8769
PINT_01544,676,822,7793,10678,919,4850,2567,37407,21237,1659,2626,11070
PINT_01545,396,559,4193,6302,518,2694,1530,23280,13575,1150,1830,6018
PINT_01684,59,70,729,177,80,333,164,378,377,37,46,266
PINT_01685,212,152,2058,507,239,996,598,988,835,67,89,712
PINT_01686,14102,24541,141168,66786,21384,120464,63588,154372,198310,15070,26184,64572
PINT_01687,332,348,1189,609,379,1851,937,1444,1376,104,122,519
PINT_01688,462,190,1091,359,574,3033,1454,1255,1121,83,125,468
PINT_01689,1266,296,2004,971,1468,7092,3806,4181,3745,267,334,1090
PINT_01766,917,1817,7081,3824,1163,5325,2823,14457,7254,611,699,6076
PINT_01767,856,2138,8160,4472,1085,5004,2641,15751,7577,697,711,7693
PINT_01768,442,859,2722,1572,425,1750,1133,4044,1808,176,172,2581
PINT_01769,8,9,45,21,21,62,25,95,60,6,4,58
PINT_01770,0,0,1,0,0,0,0,0,0,0,0,0
PINT_01771,447,423,1633,637,509,2304,1052,2017,1365,121,98,1021
PINT_01772,0,0,1,0,0,0,0,0,1,1,0,1
PINT_01773,0,0,0,0,0,0,1,0,1,0,0,0
PINT_01774,0,0,0,0,0,1,0,0,0,0,0,0
PINT_01775,0,0,0,0,0,2,0,0,5,1,0,1
PINT_01776,6,13,60,29,3,16,10,31,197,18,3,50
PINT_01777,23,33,183,87,20,35,14,103,716,57,6,180
PINT_01778,7,26,108,43,10,21,16,67,514,65,2,100
PINT_01806,167,2316,17776,6529,147,744,374,13650,14953,1277,1326,7399
PINT_01807,33,1948,13810,6635,42,171,81,9166,10183,735,715,4409
PINT_01808,30,2135,18256,9213,32,132,75,11817,12901,1023,985,6129
PINT_01809,11,1607,13602,8018,23,62,52,9392,9003,740,759,4875
PINT_01810,20,2977,19944,11119,30,105,62,19111,17981,1366,1360,7174
PINT_01811,75,3775,22054,22093,77,420,204,54527,42988,3458,3933,15892
PINT_01812,86,3892,17544,18360,84,406,201,54225,43448,4036,4444,14785
PINT_01813,55,2113,13712,13425,62,330,169,33889,28839,2294,2428,11322
PINT_01814,183,5880,31846,32165,211,882,524,85555,66793,5944,5924,25491
PINT_01815,47,1821,12711,12610,50,259,151,31013,21400,1769,1790,9938
PINT_01816,84,2991,23139,23338,81,462,259,55090,43305,3720,3400,18695
PINT_01817,135,4600,40721,36570,134,649,394,77289,62530,5555,4911,30731
PINT_01818,89,4193,39362,32534,131,692,348,62267,50143,3812,3525,26572
PINT_01819,228,9218,70037,56160,286,1510,855,80508,69961,5738,4743,40326
PINT_01927,2135,492,9507,5221,3480,18361,10279,26066,12357,1151,1219,8993
PINT_01928,8214,1240,20349,10369,10194,51981,29954,42537,19999,1784,2112,18139
PINT_01929,0,0,1,0,2,6,1,1,6,1,0,2
PINT_01930,196,4490,13629,12473,275,1347,742,14744,10231,945,786,11465
PINT_01931,68,1903,6609,6342,107,562,369,9983,5995,523,496,6743
PINT_01932,20,591,2035,1879,22,140,83,3037,2043,176,154,1832
PINT_01933,126,4501,14649,11295,152,728,408,26105,19448,1609,1714,8729
PINT_01934,14,696,2314,1737,13,88,48,3216,1936,141,202,1518
PINT_01935,66,1425,5885,4911,57,276,154,8185,4976,427,449,5149
PINT_01936,22,875,3961,3120,39,161,72,5662,3639,318,328,3230
PINT_02084,1832,3639,13907,6616,2188,11334,6797,19065,13561,1303,1669,5352
PINT_02085,4246,8256,35151,15020,5027,25256,15008,38981,28364,2522,3221,12841
PINT_02086,11,51,296,158,4,15,6,175,172,15,13,97
PINT_02087,18,90,499,239,8,27,20,262,228,22,25,203
PINT_02088,0,0,2,0,0,0,1,0,3,0,0,0
PINT_02089,7,11,54,15,9,51,37,169,210,13,22,35
PINT_02090,1,0,1,0,0,1,0,0,0,0,0,0
PINT_02091,2796,9027,43147,21180,4257,22645,12464,51343,48098,3993,5927,15901
PINT_02092,1264,4541,24440,11019,2115,11258,6515,31326,30198,2369,3399,9162
PINT_02107,3731,36,200,99,5540,30505,19780,350,325,20,37,109
PINT_02108,4667,275,380,219,6962,38696,23900,533,577,33,43,407
PINT_02109,12,29,94,139,9,29,12,176,257,21,10,127
PINT_02110,18,62,186,196,19,65,31,270,418,19,15,216
PINT_02111,7,0,0,1,3,12,10,0,1,0,0,0
PINT_02113,4684,723,2418,1627,6928,39060,20589,13355,24849,1993,2333,794
PINT_02114,5129,412,2890,1765,5672,28604,15578,5194,3106,243,336,2700
PINT_02498,247,131,1180,673,485,2538,1266,32417,15873,1343,1853,2248
PINT_02499,94,51,276,201,187,945,552,14255,6497,585,906,1000
PINT_02500,102,93,251,208,189,1064,539,16399,7899,647,1091,1455
PINT_02501,133,107,259,262,229,1287,707,18458,9268,769,1454,2115
PINT_02502,101,74,201,146,196,897,435,10735,5467,420,947,1449
