rn,condition,mean_tpms
PROD_00473,Conv,219.2865361262262
PROD_00473,eSPF,127.12772509103527
PROD_00473,invitro,45.070135553496016
PROD_00837,Conv,193.897803083494
PROD_00837,eSPF,139.5309450129582
PROD_00837,invitro,2.254902912038537
PROD_00841,Conv,140.18437910588554
PROD_00841,eSPF,93.79351595090772
PROD_00841,invitro,0.8661619212307604
PROD_01146,Conv,4.099110748940747
PROD_01146,eSPF,2.089226428631193
PROD_01146,invitro,1.3365065558335103
PROD_01370,Conv,108.28814006898436
PROD_01370,eSPF,165.84028373736157
PROD_01370,invitro,2.2557524861417253
PROD_01882,Conv,8.475655469661026
PROD_01882,eSPF,169.81912379374194
PROD_01882,invitro,13.992429243916163
PROD_02118,Conv,156.72923244816556
PROD_02118,eSPF,92.61479491426535
PROD_02118,invitro,97.27378270941054
PROD_02122,Conv,91.14574410810727
PROD_02122,eSPF,84.28299917241475
PROD_02122,invitro,39.97149908824659
PROD_02216,Conv,3.285065578588376
PROD_02216,eSPF,0.6676896846030337
PROD_02216,invitro,0.5484068870050826
PROD_02441,Conv,200.3620231304943
PROD_02441,eSPF,132.28162740142287
PROD_02441,invitro,45.360701467433024
PROD_02445,Conv,194.35533652381216
PROD_02445,eSPF,98.01991792954999
PROD_02445,invitro,69.28952878263004
PROD_02830,Conv,377.7181925182466
PROD_02830,eSPF,184.93941202102638
PROD_02830,invitro,81.67748954317415
